ID,Brand,Model,Type,Year,Age,KmDriven,Transmission,Owner,FuelType,AskPrice
C0001,Maruti Suzuki,Baleno,Hatchback,2019,5,45000,Automatic,First,Petrol,685000
C0002,Maruti Suzuki,Alto-K10,Hatchback,2018,6,70000,Automatic,First,Petrol,395000
C0003,Maruti Suzuki,Ertiga,MUV,2017,7,59000,Automatic,Second,Petrol,555000
C0004,Renault,KWID,Hatchback,2019,5,48073,Automatic,Second,Petrol,355000
C0005,MG,Hector,SUV,2019,5,32618,Automatic,First,Petrol,1250000
C0006,Hyundai,Venue,SUV,2021,3,17000,Manual,First,Petrol,685000
C0007,Maruti Suzuki,Ertiga,MUV,2018,6,70000,Manual,Second,Petrol,749000
C0008,Hyundai,Creta,SUV,2023,1,5000,Automatic,First,Petrol,1600000
C0009,Hyundai,Alcazar,SUV,2022,2,47110,Manual,Second,Diesel,1695000
C0010,Maruti Suzuki,Baleno,Hatchback,2018,6,30000,Manual,Second,Petrol,630000
C0011,Hyundai,Creta,SUV,2022,2,30000,Automatic,Second,Petrol,1690000
C0012,Skoda,Kushaq,SUV,2023,1,12000,Automatic,First,Petrol,1800000
C0013,Hyundai,Creta,SUV,2017,7,70000,Manual,Second,Petrol,765000
C0014,Hyundai,Creta,SUV,2017,7,54000,Automatic,First,Petrol,811000
C0015,Kia,Carens,MPV,2023,1,24000,Manual,First,Petrol,1225000
C0016,Maruti Suzuki,Ignis,Hatchback,2023,1,13000,Manual,Second,Petrol,610000
C0017,Honda,City,Sedan,2016,8,93000,Automatic,Second,Petrol,575000
C0018,Hyundai,Verna,Sedan,2022,2,69000,Automatic,First,Diesel,1250000
C0019,Kia,Sonet,SUV,2020,4,34500,Automatic,First,Petrol,935000
C0020,Mahindra,Scorpio-N,SUV,2023,1,15905,Automatic,First,Diesel,2350000
C0021,Toyota,Innova Crysta,MPV,2021,3,21000,Manual,First,Diesel,2125000
C0022,Maruti Suzuki,Wagon-R,Hatchback,2016,8,50000,Manual,First,Petrol,245000
C0023,Tata,Nexon,SUV,2022,2,40000,Automatic,Second,Petrol,680000
C0024,Maruti Suzuki,Baleno,Hatchback,2017,7,47000,Automatic,First,Petrol,575000
C0025,Maruti Suzuki,Ertiga,MUV,2020,4,59000,Automatic,First,Petrol,980000
C0026,Tata,Nexon,SUV,2018,6,95000,Automatic,Second,Petrol,575000
C0027,Mahindra,Thar,SUV,2022,2,11000,Manual,First,Diesel,1675000
C0028,Skoda,Kushaq,SUV,2021,3,74000,Automatic,First,Petrol,1199000
C0029,Maruti Suzuki,Eeco,MPV,2021,3,49000,Manual,First,Petrol,540000
C0030,Hyundai,Creta,SUV,2023,1,35000,Automatic,First,Diesel,2025000
C0031,Hyundai,Creta,SUV,2018,6,66000,Automatic,Second,Petrol,1075000
C0032,Maruti Suzuki,Swift,Hatchback,2018,6,65000,Automatic,Second,Petrol,590000
C0033,Mahindra,Thar,SUV,2023,1,28000,Automatic,First,Diesel,1785000
C0034,Toyota,Innova Crysta,MPV,2022,2,31000,Automatic,First,Diesel,2700000
C0035,Honda,City,Sedan,2016,8,93000,Automatic,Second,Petrol,575000
C0036,Tata,Altroz,Hachback,2021,3,33000,Manual,First,Petrol,545000
C0037,Maruti Suzuki,Celerio,Hatchback,2018,6,37000,Automatic,Second,Petrol,460000
C0038,Hyundai,Grand i10 Nios,Hatchback,2022,2,36000,Automatic,First,Petrol,690000
C0039,Renault,KWID,Hatchback,2017,7,65663,Automatic,Second,Petrol,325000
C0040,Maruti Suzuki,Baleno,Hatchback,2018,6,31000,Manual,First,Petrol,549000
C0041,Hyundai,Alcazar,SUV,2022,2,37000,Automatic,First,Diesel,1820000
C0042,Maruti Suzuki,Alto K10,Hatchback,2016,8,56000,Manual,First,Petrol,275000
C0043,Toyota,Fortuner,SUV,2021,3,60000,Automatic,First,Petrol,3200000
C0044,Kia,Seltos,SUV,2021,3,41000,Automatic,First,Petrol,1390000
C0045,Toyota,Glanza,Hatchback,2021,3,28000,Automatic,Second,Petrol,750000
C0046,Tata,Harrier,SUV,2022,2,14000,Automatic,First,Diesel,1875000
C0047,Kia,Seltos,SUV,2020,4,50200,Automatic,First,Petrol,1300000
C0048,Maruti Suzuki,Wagon-R,Hatchback,2023,1,30000,Manual,First,Petrol,675000
C0049,Renault,KWID,Hatchback,2017,7,54000,Automatic,Second,Petrol,365000
C0050,Hyundai,Creta,SUV,2016,8,63000,Manual,Second,Petrol,650000
C0051,Honda,City,Sedan,2018,6,62000,Manual,First,Petrol,695000
C0052,Honda,Amaze,Sedan,2021,3,56001,Automatic,First,Diesel,1125000
C0053,Honda,City,Sedan,2016,8,95000,Manual,Second,Petrol,535000
C0054,Maruti Suzuki,S-Presso,Hatchback,2021,3,39000,Automatic,First,Petrol,465000
C0055,Maruti Suzuki,Dzire,Sedan,2022,2,44000,Automatic,First,Petrol,780000
C0056,Maruti Suzuki,Swift,Hatchback,2019,5,59000,Manual,First,Petrol,540000
C0057,MG,ASTOR,SUV,2022,2,32000,Automatic,First,Petrol,1275000
C0058,Renault,KWID,Hatchback,2017,7,78537,Automatic,First,Petrol,375000
C0059,Maruti Suzuki,Baleno,Hatchback,2018,6,39848,Manual,First,Petrol,479931
C0060,Toyota,Innova Crysta,MPV,2022,2,25000,Automatic,First,Diesel,2600000
C0061,Mahindra,Thar,SUV,2022,2,14000,Automatic,First,Petrol,1550000
C0062,Tata,Tiago,Hatchback,2021,3,74000,Manual,Second,Petrol,515000
C0063,Toyota,Innova Crysta,MPV,2021,3,42000,Manual,Second,Diesel,2550000
C0064,Maruti Suzuki,Grand Vitara,SUV,2023,1,21209,Manual,First,Petrol,1290000
C0065,Toyota,Glanza,Hatchback,2020,4,87000,Manual,First,Petrol,733000
C0066,Tata,Tiago,Hatchback,2018,6,30000,Automatic,First,Petrol,355000
C0067,Honda,City,Sedan,2016,8,63000,Manual,Second,Petrol,600000
C0068,Honda,Amaze,Sedan,2016,8,65000,Manual,First,Petrol,410000
C0069,Maruti Suzuki,Swift,Hatchback,2022,2,35000,Automatic,First,Petrol,745000
C0070,Volkswagen,Virtus,Sedan,2022,2,50000,Automatic,First,Petrol,1299000
C0071,MG,Hector,SUV,2023,1,29000,Automatic,First,Petrol,2295000
C0072,Mahindra,Thar,SUV,2021,3,13000,Automatic,First,Diesel,1700000
C0073,Mahindra,XUV700,SUV,2023,1,4000,Manual,First,Petrol,2100000
C0074,Maruti Suzuki,Baleno,Hatchback,2021,3,57000,Automatic,Second,Petrol,685000
C0075,MG,ASTOR,SUV,2021,3,12110,Automatic,First,Petrol,1295000
C0076,Hyundai,New i20,Hatchback,2022,2,13162,Automatic,First,Petrol,975000
C0077,Mahindra,Thar,SUV,2021,3,41000,Manual,Second,Diesel,1450000
C0078,Toyota,Innova Crysta,MPV,2022,2,8000,Automatic,First,Diesel,3375000
C0079,Toyota,Fortuner,SUV,2024,0,2596,Manual,First,Diesel,3899999
C0080,Mahindra,Thar,SUV,2023,1,24500,Automatic,First,Petrol,1410000
C0081,Honda,City,Sedan,2021,3,125000,Manual,First,Diesel,1075000
C0082,Kia,Seltos,SUV,2022,2,30891,Automatic,First,Diesel,1875000
